Entity,Code,Year,Annual CO₂ emissions
Afghanistan,AFG,1949,14656
Afghanistan,AFG,1950,84272
Afghanistan,AFG,1951,91600
Afghanistan,AFG,1952,91600
Afghanistan,AFG,1953,106256
Afghanistan,AFG,1954,106256
Afghanistan,AFG,1955,153888
Afghanistan,AFG,1956,183200
Afghanistan,AFG,1957,293120
Afghanistan,AFG,1958,329760
Afghanistan,AFG,1959,384571
Afghanistan,AFG,1960,413885
Afghanistan,AFG,1961,490798
Afghanistan,AFG,1962,688594
Afghanistan,AFG,1963,706736
Afghanistan,AFG,1964,838551
Afghanistan,AFG,1965,1006917
Afghanistan,AFG,1966,1091159
Afghanistan,AFG,1967,1281865
Afghanistan,AFG,1968,1223391
Afghanistan,AFG,1969,941232
Afghanistan,AFG,1970,1670397
Afghanistan,AFG,1971,1893554
Afghanistan,AFG,1972,1530347
Afghanistan,AFG,1973,1635454
Afghanistan,AFG,1974,1913152
Afghanistan,AFG,1975,2121383
Afghanistan,AFG,1976,1980859
Afghanistan,AFG,1977,2384175
Afghanistan,AFG,1978,2153300
Afghanistan,AFG,1979,2232754
Afghanistan,AFG,1980,1756302
Afghanistan,AFG,1981,1978463
Afghanistan,AFG,1982,2094580.9
Afghanistan,AFG,1983,2519954
Afghanistan,AFG,1984,2821540
Afghanistan,AFG,1985,3501422
Afghanistan,AFG,1986,3133645
Afghanistan,AFG,1987,3113826
Afghanistan,AFG,1988,2856896
Afghanistan,AFG,1989,2764855
Afghanistan,AFG,1990,2024326.1
Afghanistan,AFG,1991,1914301
Afghanistan,AFG,1992,1482054
Afghanistan,AFG,1993,1486943
Afghanistan,AFG,1994,1453829
Afghanistan,AFG,1995,1417327
Afghanistan,AFG,1996,1370104
Afghanistan,AFG,1997,1304152
Afghanistan,AFG,1998,1278504
Afghanistan,AFG,1999,1091640
Afghanistan,AFG,2000,1047127.94
Afghanistan,AFG,2001,1069098
Afghanistan,AFG,2002,1340995
Afghanistan,AFG,2003,1559602
Afghanistan,AFG,2004,1237247
Afghanistan,AFG,2005,1889507
Afghanistan,AFG,2006,2159318
Afghanistan,AFG,2007,2799909
Afghanistan,AFG,2008,4254477
Afghanistan,AFG,2009,6391888
Afghanistan,AFG,2010,8364803.5
Afghanistan,AFG,2011,11838316
Afghanistan,AFG,2012,10035314
Afghanistan,AFG,2013,9250510
Afghanistan,AFG,2014,9170309
Afghanistan,AFG,2015,9791093
Afghanistan,AFG,2016,9067598
Afghanistan,AFG,2017,9867969
Afghanistan,AFG,2018,10818048
Afghanistan,AFG,2019,11081621
Afghanistan,AFG,2020,11888066
Afghanistan,AFG,2021,12283148
Afghanistan,AFG,2022,12147948
Africa,,1750,0
Africa,,1751,0
Africa,,1752,0
Africa,,1753,0
Africa,,1754,0
Africa,,1755,0
Africa,,1756,0
Africa,,1757,0
Africa,,1758,0
Africa,,1759,0
Africa,,1760,0
Africa,,1761,0
Africa,,1762,0
Africa,,1763,0
Africa,,1764,0
Africa,,1765,0
Africa,,1766,0
Africa,,1767,0
Africa,,1768,0
Africa,,1769,0
Africa,,1770,0
Africa,,1771,0
Africa,,1772,0
Africa,,1773,0
Africa,,1774,0
Africa,,1775,0
Africa,,1776,0
Africa,,1777,0
Africa,,1778,0
Africa,,1779,0
Africa,,1780,0
Africa,,1781,0
Africa,,1782,0
Africa,,1783,0
Africa,,1784,0
Africa,,1785,0
Africa,,1786,0
Africa,,1787,0
Africa,,1788,0
Africa,,1789,0
Africa,,1790,0
Africa,,1791,0
Africa,,1792,0
Africa,,1793,0
Africa,,1794,0
Africa,,1795,0
Africa,,1796,0
Africa,,1797,0
Africa,,1798,0
Africa,,1799,0
Africa,,1800,0
Africa,,1801,0
Africa,,1802,0
Africa,,1803,0
Africa,,1804,0
Africa,,1805,0
Africa,,1806,0
Africa,,1807,0
Africa,,1808,0
Africa,,1809,0
Africa,,1810,0
Africa,,1811,0
Africa,,1812,0
Africa,,1813,0
Africa,,1814,0
Africa,,1815,0
Africa,,1816,0
Africa,,1817,0
Africa,,1818,0
Africa,,1819,0
Africa,,1820,0
Africa,,1821,0
Africa,,1822,0
Africa,,1823,0
Africa,,1824,0
Africa,,1825,0
Africa,,1826,0
Africa,,1827,0
Africa,,1828,0
Africa,,1829,0
Africa,,1830,0
Africa,,1831,0
Africa,,1832,0
Africa,,1833,0
Africa,,1834,0
Africa,,1835,0
Africa,,1836,0
Africa,,1837,0
Africa,,1838,0
Africa,,1839,0
Africa,,1840,0
Africa,,1841,0
Africa,,1842,0
Africa,,1843,0
Africa,,1844,0
Africa,,1845,0
Africa,,1846,0
Africa,,1847,0
Africa,,1848,0
Africa,,1849,0
Africa,,1850,0
Africa,,1851,0
Africa,,1852,0
Africa,,1853,0
Africa,,1854,0
Africa,,1855,0
Africa,,1856,0
Africa,,1857,0
Africa,,1858,0
Africa,,1859,0
Africa,,1860,0
Africa,,1861,0
Africa,,1862,0
Africa,,1863,0
Africa,,1864,0
Africa,,1865,0
Africa,,1866,0
Africa,,1867,0
Africa,,1868,0
Africa,,1869,0
Africa,,1870,0
Africa,,1871,0
Africa,,1872,0
Africa,,1873,0
Africa,,1874,0
Africa,,1875,0
Africa,,1876,0
Africa,,1877,0
Africa,,1878,0
Africa,,1879,0
Africa,,1880,0
Africa,,1881,0
Africa,,1882,0
Africa,,1883,0
Africa,,1884,21984
Africa,,1885,36640
Africa,,1886,47632
Africa,,1887,47632
Africa,,1888,80608
Africa,,1889,131904
Africa,,1890,296784
Africa,,1891,296784
Africa,,1892,479984
Africa,,1893,1799024
Africa,,1894,2432896
Africa,,1895,3337904
Africa,,1896,4257568
Africa,,1897,4777856
Africa,,1898,6049264
Africa,,1899,5517984
Africa,,1900,2330304
Africa,,1901,3909488
Africa,,1902,5825760
Africa,,1903,7895920
Africa,,1904,8910848
Africa,,1905,10262864
Africa,,1906,11717472
Africa,,1907,12930256
Africa,,1908,13402912
Africa,,1909,15385136
Africa,,1910,17411328
Africa,,1911,16865392
Africa,,1912,17953600
Africa,,1913,19606064
Africa,,1914,19551104
Africa,,1915,19606064
Africa,,1916,23255408
Africa,,1917,25343888
Africa,,1918,24724672
Africa,,1919,25442816
Africa,,1920,28051584
Africa,,1921,27985632
Africa,,1922,23969888
Africa,,1923,29044528
Africa,,1924,30631040
Africa,,1925,32184576
Africa,,1926,34437936
Africa,,1927,33840704
Africa,,1928,34770320
Africa,,1929,35801616
Africa,,1930,33695670
Africa,,1931,29463712
Africa,,1932,26622752
Africa,,1933,28491132
Africa,,1934,32539280
Africa,,1935,35909544
Africa,,1936,39015950
Africa,,1937,41844264
Africa,,1938,44013164
Africa,,1939,46852930
Africa,,1940,49649184
Africa,,1941,54023456
Africa,,1942,58822884
Africa,,1943,60119628
Africa,,1944,66632910
Africa,,1945,67527180
Africa,,1946,68159370
Africa,,1947,67934744
Africa,,1948,71733140
Africa,,1949,77323530
Africa,,1950,94868000
Africa,,1951,101125270
Africa,,1952,110325210
Africa,,1953,112007010
Africa,,1954,117536136
Africa,,1955,129402480
Africa,,1956,135106240
Africa,,1957,141593100
Africa,,1958,148670910
Africa,,1959,147841220
Africa,,1960,156567170
Africa,,1961,161994320
Africa,,1962,166334880
Africa,,1963,176334850
Africa,,1964,193639330
Africa,,1965,213634380
Africa,,1966,221082080
Africa,,1967,237045170
Africa,,1968,257384030
Africa,,1969,277916000
Africa,,1970,302623900
Africa,,1971,331861400
Africa,,1972,351871100
Africa,,1973,378003360
Africa,,1974,388389600
Africa,,1975,387265120
Africa,,1976,420141100
Africa,,1977,433115100
Africa,,1978,462487070
Africa,,1979,499060700
Africa,,1980,535678370
Africa,,1981,548570700
Africa,,1982,571727200
Africa,,1983,594561000
Africa,,1984,649325060
Africa,,1985,665686400
Africa,,1986,689698050
Africa,,1987,689703300
Africa,,1988,724696800
