country,iso3,year,renewables,nuclear,hydro,fossil
Albania,ALB,1971,0,0,57.142857,42.857143
Albania,ALB,1972,0,0,62.068966,37.931034
Albania,ALB,1973,0,0,66.21622,33.783783
Albania,ALB,1974,0,0,68.42105,31.578947
Albania,ALB,1975,0,0,71.91011,28.089888
Albania,ALB,1976,0,0,74.5098,25.490196
Albania,ALB,1977,0,0,76.521736,23.47826
Albania,ALB,1978,0,0,77.41936,22.580645
Albania,ALB,1979,0,0,78.832115,21.167883
Albania,ALB,1980,0,0,79.40781,20.592194
Albania,ALB,1981,0,0,81.333336,18.666666
Albania,ALB,1982,0,0,83.00133,16.998672
Albania,ALB,1983,0,0,84.65608,15.343915
Albania,ALB,1984,0,0,73.68846,26.311543
Albania,ALB,1985,0,0,67.68351,32.31649
Albania,ALB,1986,0,0,79.53388,20.466118
Albania,ALB,1987,0,0,76.222984,23.77702
Albania,ALB,1988,0,0,73.77008,26.22992
Albania,ALB,1989,0,0,74.65438,25.345623
Albania,ALB,1990,0,0,86.40777,13.592233
Albania,ALB,1991,0,0,92.14249,7.8575172
Albania,ALB,1992,0,0,95.05009,4.9499116
Albania,ALB,1993,0,0,93.90762,6.0923777
Albania,ALB,1994,0,0,95.68637,4.313626
Albania,ALB,1995,0,0,93.98614,6.013861
Albania,ALB,1996,0,0,95.7205,4.2795053
Albania,ALB,1997,0,0,96.174446,3.8255546
Albania,ALB,1998,0,0,96.32022,3.6797807
Albania,ALB,1999,0,0,97.329155,2.6708417
Albania,ALB,2000,0,0,96.14902,3.8509836
Albania,ALB,2001,0,0,95.30831,4.691689
Albania,ALB,2002,0,0,93.95399,6.046014
Albania,ALB,2003,0,0,97.85657,2.1434295
Albania,ALB,2004,0,0,97.50268,2.4973242
Albania,ALB,2005,0,0,98.71394,1.2860554
Albania,ALB,2006,0,0,98.31644,1.6835626
Albania,ALB,2007,0,0,97.48252,2.5174825
Albania,ALB,2008,0,0,100,0
Albania,ALB,2009,0,0,99.980774,0.019223375
Albania,ALB,2010,0,0,99.986786,0.013213531
Albania,ALB,2011,0,0,98.592224,1.4077786
Albania,ALB,2012,0,0,100,0
Albania,ALB,2013,0,0,100,0
Albania,ALB,2014,0,0,100,0
Albania,ALB,2015,0,,100,0
Algeria,DZA,1971,0,0,14.804845,85.19515
Algeria,DZA,1972,0,0,20.320196,79.6798
Algeria,DZA,1973,0,0,26.799715,73.20029
Algeria,DZA,1974,0,0,16.199478,83.80052
Algeria,DZA,1975,0,0,9.035812,90.96419
Algeria,DZA,1976,0,0,9.18536,90.81464
Algeria,DZA,1977,0,0,5.802416,94.197586
Algeria,DZA,1978,0,0,4.5620437,95.43796
Algeria,DZA,1979,0,0,4.526365,95.47363
Algeria,DZA,1980,0,0,3.6080303,96.39197
Algeria,DZA,1981,0,0,4.49521,95.50479
Algeria,DZA,1982,0,0,5.097914,94.902084
Algeria,DZA,1983,0,0,2.299863,97.700134
Algeria,DZA,1984,0,0,4.0422106,95.95779
Algeria,DZA,1985,0,0,5.263158,94.73684
Algeria,DZA,1986,0,0,1.9258916,98.07411
Algeria,DZA,1987,0,0,3.9223392,96.07766
Algeria,DZA,1988,0,0,1.310325,98.689674
Algeria,DZA,1989,0,0,1.4748107,98.52519
Algeria,DZA,1990,0,0,0.83830106,99.1617
Algeria,DZA,1991,0,0,1.6892476,98.31075
Algeria,DZA,1992,0,0,1.0882642,98.911736
Algeria,DZA,1993,0,0,1.8182755,98.181725
Algeria,DZA,1994,0,0,0.83488405,99.165115
Algeria,DZA,1995,0,0,0.97895,99.02105
Algeria,DZA,1996,0,0,0.65362644,99.346375
Algeria,DZA,1997,0,0,0.3488859,99.651115
Algeria,DZA,1998,0,0,0.9242541,99.075745
Algeria,DZA,1999,0,0,0.81997013,99.18003
Algeria,DZA,2000,0,0,0.21249804,99.7875
Algeria,DZA,2001,0,0,0.25915492,99.740845
Algeria,DZA,2002,0,0,0.2061632,99.79384
