Entity,Code,Year,Outbound departures (tourists) per 1000 people
Algeria,DZA,1995,38.275127
Algeria,DZA,1996,30.153902
Algeria,DZA,1997,28.056696
Algeria,DZA,1998,29.373764
Algeria,DZA,1999,29.75672
Algeria,DZA,2000,32.68927
Algeria,DZA,2001,38.139824
Algeria,DZA,2002,39.747414
Algeria,DZA,2003,39.119186
Algeria,DZA,2004,43.58634
Algeria,DZA,2005,45.908737
Algeria,DZA,2006,40.346844
Algeria,DZA,2007,44.109207
Algeria,DZA,2008,44.518894
Algeria,DZA,2009,47.647408
Algeria,DZA,2010,49.001087
Algeria,DZA,2011,46.93031
Algeria,DZA,2012,51.287464
Algeria,DZA,2013,56.2096
Algeria,DZA,2014,73.2453
Algeria,DZA,2015,92.00077
Algeria,DZA,2016,112.297356
Algeria,DZA,2017,122.95635
Algeria,DZA,2018,133.80397
Algeria,DZA,2019,134.22198
Algeria,DZA,2020,31.89751
Algeria,DZA,2021,7.7866874
Angola,AGO,1995,0.21563718
Angola,AGO,1996,0.20857447
Argentina,ARG,1995,109.16807
Argentina,ARG,1996,121.39242
Argentina,ARG,1997,126.116936
Argentina,ARG,1998,126.73461
Argentina,ARG,1999,130.57582
Argentina,ARG,2000,133.6093
Argentina,ARG,2001,127.052765
Argentina,ARG,2002,79.398125
Argentina,ARG,2003,80.67262
Argentina,ARG,2004,100.95996
Argentina,ARG,2005,99.66598
Argentina,ARG,2006,98.58941
Argentina,ARG,2007,104.49864
Argentina,ARG,2008,114.56589
Argentina,ARG,2009,122.43039
Argentina,ARG,2010,129.1237
Argentina,ARG,2011,161.02797
Argentina,ARG,2012,173.19644
Argentina,ARG,2013,159.14781
Argentina,ARG,2014,152.18079
Argentina,ARG,2015,180.47919
Argentina,ARG,2016,238.54868
Argentina,ARG,2017,277.22406
Argentina,ARG,2018,250.59895
Argentina,ARG,2019,203.68521
Argentina,ARG,2020,63.08282
Argentina,ARG,2021,18.397947
Armenia,ARM,2000,35.032074
Armenia,ARM,2001,35.10857
Armenia,ARM,2002,42.189472
Armenia,ARM,2003,54.797062
Armenia,ARM,2004,72.086815
Armenia,ARM,2005,88.2762
Armenia,ARM,2006,108.70679
Armenia,ARM,2007,155.77164
Armenia,ARM,2008,172.95558
Armenia,ARM,2009,177.44493
Armenia,ARM,2010,191.08739
Armenia,ARM,2011,244.11195
Armenia,ARM,2012,331.1113
Armenia,ARM,2013,373.26987
Armenia,ARM,2014,414.5419
Armenia,ARM,2015,412.35352
Armenia,ARM,2016,440.70834
Armenia,ARM,2017,519.64825
Armenia,ARM,2018,572.1713
Armenia,ARM,2019,662.2695
Armenia,ARM,2020,123.32434
Armenia,ARM,2021,151.56015
Austria,AUT,2000,939.7753
Austria,AUT,2001,1038.6046
Austria,AUT,2002,1023.1472
Austria,AUT,2003,1032.499
Austria,AUT,2004,1024.4498
Austria,AUT,2005,997.4433
Austria,AUT,2006,1214.5958
Austria,AUT,2007,1190.637
Austria,AUT,2008,1162.9425
Austria,AUT,2009,1213.1217
Austria,AUT,2010,1181.6576
Austria,AUT,2011,1176.7087
Austria,AUT,2012,1300.174
Austria,AUT,2013,1258.4406
Austria,AUT,2014,1286.4398
Austria,AUT,2015,1229.7479
Austria,AUT,2016,1320.2097
Austria,AUT,2017,1306.167
Austria,AUT,2018,1249.135
Austria,AUT,2019,1340.3245
Austria,AUT,2020,445.00424
Austria,AUT,2021,843.07635
Azerbaijan,AZE,2005,102.4694
Azerbaijan,AZE,2006,101.5593
Azerbaijan,AZE,2007,89.09255
Azerbaijan,AZE,2008,116.448364
Azerbaijan,AZE,2009,125.55334
Azerbaijan,AZE,2010,197.02934
Azerbaijan,AZE,2011,246.60707
Azerbaijan,AZE,2012,298.24228
Azerbaijan,AZE,2013,343.96042
Azerbaijan,AZE,2014,340.69403
Azerbaijan,AZE,2015,330.10645
Azerbaijan,AZE,2016,360.055
Azerbaijan,AZE,2017,342.25055
Azerbaijan,AZE,2018,386.0124
Azerbaijan,AZE,2019,447.4843
Bahrain,BHR,2015,2698.6611
Bahrain,BHR,2016,1306.6907
Bahrain,BHR,2017,1197.1083
Bahrain,BHR,2018,1021.9545
Bahrain,BHR,2019,1037.3479
Bahrain,BHR,2020,314.04868
Bangladesh,BGD,1995,7.046239
Bangladesh,BGD,1996,7.5994644
Bangladesh,BGD,1997,7.096079
Bangladesh,BGD,1998,7.9774528
Bangladesh,BGD,1999,8.7018385
Bangladesh,BGD,2000,8.7311
Bangladesh,BGD,2001,8.16432
Bangladesh,BGD,2002,8.632783
Bangladesh,BGD,2003,10.35873
Bangladesh,BGD,2004,11.276051
Bangladesh,BGD,2005,12.539688
Bangladesh,BGD,2006,12.753382
Bangladesh,BGD,2007,16.144482
Bangladesh,BGD,2008,6.0169992
Bangladesh,BGD,2009,15.363976
Bangladesh,BGD,2010,12.891605
Bangladesh,BGD,2011,14.160081
Bangladesh,BGD,2012,14.945034
Bangladesh,BGD,2013,9.478664
Bangladesh,BGD,2019,9.449224
Belarus,BLR,1995,59.837345
Belarus,BLR,1996,67.36004
Belarus,BLR,1997,93.16478
Belarus,BLR,1998,86.99034
Belarus,BLR,1999,90.606766
Belarus,BLR,2000,125.67654
Belarus,BLR,2001,135.96423
Belarus,BLR,2002,141.68176
Belarus,BLR,2003,110.074814
Belarus,BLR,2004,51.501476
Belarus,BLR,2005,57.57327
Belarus,BLR,2006,53.166172
Belarus,BLR,2007,52.615562
Belarus,BLR,2008,38.823727
Belarus,BLR,2009,32.384647
Belarus,BLR,2010,42.645344
Belarus,BLR,2011,32.965958
Belarus,BLR,2012,50.85749
Belarus,BLR,2013,73.0564
Belarus,BLR,2014,76.44108
Belarus,BLR,2015,69.17091
Belarus,BLR,2016,48.104107
Belarus,BLR,2017,72.72447
Belarus,BLR,2018,86.22492
Belarus,BLR,2019,99.54547
Belarus,BLR,2020,26.365656
Belarus,BLR,2021,49.800735
Belgium,BEL,1996,557.62836
Belgium,BEL,1997,743.28827
Belgium,BEL,1998,763.2103
Belgium,BEL,1999,626.9425
Belgium,BEL,2000,772.7717
Belgium,BEL,2001,637.2918
Belgium,BEL,2002,654.0442
Belgium,BEL,2003,698.67487
Belgium,BEL,2004,839.983
Belgium,BEL,2005,886.8516
Belgium,BEL,2006,741.9467
Belgium,BEL,2007,785.7366
Belgium,BEL,2008,828.4918
Belgium,BEL,2009,812.39795
Belgium,BEL,2010,809.06805
Belgium,BEL,2011,887.8449
Belgium,BEL,2012,868.08795
Belgium,BEL,2013,972.9575
Belgium,BEL,2014,983.3827
Belgium,BEL,2015,963.25616
Belgium,BEL,2016,1181.6023
Belgium,BEL,2017,1284.9059
Belgium,BEL,2018,1364.9706
Belgium,BEL,2019,1504.7909
Belgium,BEL,2020,614.78766
Belgium,BEL,2021,740.04755
Bermuda,BMU,2001,2265.922
Bermuda,BMU,2002,2332.8398
Bermuda,BMU,2003,2256.361
Bermuda,BMU,2004,2485.6992
Bermuda,BMU,2005,2556.3672
Bermuda,BMU,2006,2694.3071
Bermuda,BMU,2007,2864.7854
Bermuda,BMU,2008,3034.2778
Bhutan,BTN,2019,53.422493
Bolivia,BOL,1995,31.754246
Bolivia,BOL,1996,33.669727
Bolivia,BOL,1997,35.022495
Bolivia,BOL,1998,36.080914
Bolivia,BOL,1999,29.979652
Bolivia,BOL,2000,23.392069
Bolivia,BOL,2001,25.38278
Bolivia,BOL,2002,24.380404
Bolivia,BOL,2003,33.563766
Bolivia,BOL,2004,37.542255
Bolivia,BOL,2005,41.16282
Bolivia,BOL,2006,49.462086
Bolivia,BOL,2007,54.164516
Bolivia,BOL,2008,59.611805
Bolivia,BOL,2009,51.53551
Bolivia,BOL,2010,59.08086
Bolivia,BOL,2011,74.54612
Bolivia,BOL,2012,74.55275
Bolivia,BOL,2013,77.908646
Bolivia,BOL,2014,85.371506
Bolivia,BOL,2015,87.014626
Bolivia,BOL,2016,83.45899
Bolivia,BOL,2017,87.18438
Bolivia,BOL,2018,91.32494
Bolivia,BOL,2019,98.49441
Bolivia,BOL,2020,36.192516
Bolivia,BOL,2021,31.127184
Brazil,BRA,1995,15.90065
Brazil,BRA,1996,22.86838
Brazil,BRA,1997,23.815357
Brazil,BRA,1998,24.386135
Brazil,BRA,1999,16.502747
Brazil,BRA,2000,18.354078
Brazil,BRA,2001,15.004611
Brazil,BRA,2002,12.954581
Brazil,BRA,2003,17.680626
Brazil,BRA,2004,16.067383
Brazil,BRA,2005,18.008821
Brazil,BRA,2006,20.580372
Brazil,BRA,2007,24.436594
Brazil,BRA,2008,27.186054
Brazil,BRA,2009,25.293346
Brazil,BRA,2010,32.884567
Brazil,BRA,2011,39.39243
Brazil,BRA,2012,42.489735
Brazil,BRA,2013,43.951626
Brazil,BRA,2014,47.267357
Brazil,BRA,2015,46.19174
Brazil,BRA,2016,42.888996
Brazil,BRA,2017,50.886078
Brazil,BRA,2018,50.56941
British Virgin Islands,VGB,1995,4465.0425
Bulgaria,BGR,1995,415.68448
Bulgaria,BGR,1996,357.79828
Bulgaria,BGR,1997,367.71402
Bulgaria,BGR,1998,314.75662
Bulgaria,BGR,1999,291.09448
Bulgaria,BGR,2000,288.60068
Bulgaria,BGR,2001,339.76932
Bulgaria,BGR,2002,399.75903
Bulgaria,BGR,2003,429.7941
Bulgaria,BGR,2004,493.55945
Bulgaria,BGR,2005,541.89124
Bulgaria,BGR,2006,538.24084
Bulgaria,BGR,2007,584.91766
Bulgaria,BGR,2008,746.1975
Bulgaria,BGR,2009,653.98456
Bulgaria,BGR,2010,484.1766
Bulgaria,BGR,2011,504.1675
Bulgaria,BGR,2012,501.8464
Bulgaria,BGR,2013,528.8535
Bulgaria,BGR,2014,564.0152
Bulgaria,BGR,2015,633.7171
Bulgaria,BGR,2016,744.13654
Bulgaria,BGR,2017,867.116
Bulgaria,BGR,2018,941.2113
Bulgaria,BGR,2019,993.54333
Bulgaria,BGR,2020,476.41693
Bulgaria,BGR,2021,594.5514
Burundi,BDI,1995,6.067972
Burundi,BDI,1996,5.901683
Burundi,BDI,1997,1.6880877
Burundi,BDI,1998,2.651049
Burundi,BDI,1999,4.3687983
Burundi,BDI,2000,4.4390435
Burundi,BDI,2001,5.4131546
Cambodia,KHM,1995,2.8389506
Cambodia,KHM,1996,3.3981323
Cambodia,KHM,1997,3.9364643
Cambodia,KHM,1998,3.5135567
Cambodia,KHM,1999,4.1179895
Cambodia,KHM,2000,3.383161
Cambodia,KHM,2001,2.9988172
Cambodia,KHM,2002,3.582294
Cambodia,KHM,2003,4.6920037
Cambodia,KHM,2004,18.361485
Cambodia,KHM,2005,42.878967
Cambodia,KHM,2006,58.392403
Cambodia,KHM,2007,72.622284
Cambodia,KHM,2008,56.368748
Cambodia,KHM,2009,24.018522
Cambodia,KHM,2010,35.158478
Cambodia,KHM,2011,48.717247
Cambodia,KHM,2012,53.56183
Cambodia,KHM,2013,58.13453
Cambodia,KHM,2014,62.85001
Cambodia,KHM,2015,77.44433
Cambodia,KHM,2016,91.778435
Cambodia,KHM,2017,110.67108
Cambodia,KHM,2018,124.4911
Cambodia,KHM,2019,125.74235
Cambodia,KHM,2020,19.881851
Cambodia,KHM,2021,1.8385643
Canada,CAN,1995,621.5894
Canada,CAN,1996,641.1128
Canada,CAN,1997,639.5328
Canada,CAN,1998,585.4406
Canada,CAN,1999,604.21497
Canada,CAN,2000,625.1606
Canada,CAN,2001,592.1729
Canada,CAN,2002,565.2504
Canada,CAN,2003,561.0153
Canada,CAN,2004,614.0387
Canada,CAN,2005,654.92474
Canada,CAN,2006,698.73035
Canada,CAN,2007,765.70654
Canada,CAN,2008,813.8226
Canada,CAN,2009,780.0221
Canada,CAN,2010,844.43805
Canada,CAN,2011,887.14636
Canada,CAN,2012,930.36194
Canada,CAN,2013,940.3173
Canada,CAN,2014,946.7127
Canada,CAN,2015,903.0251
Canada,CAN,2016,866.1019
Canada,CAN,2017,904.40686
Canada,CAN,2018,702.92474
Canada,CAN,2019,709.25287
Canada,CAN,2020,133.20593
Canada,CAN,2021,148.97125
Central African Republic,CAF,2002,1.272053
Central African Republic,CAF,2003,1.4899973
Central African Republic,CAF,2004,1.7010332
Central African Republic,CAF,2005,1.900759
Central African Republic,CAF,2006,2.5615041
Central African Republic,CAF,2010,8.154391
Chad,TCD,2000,3.269104
Chad,TCD,2001,4.684496
Chad,TCD,2002,2.6022894
Chile,CHL,2000,85.91824
Chile,CHL,2001,76.01147
Chile,CHL,2002,82.38924
Chile,CHL,2003,84.55706
Chile,CHL,2004,93.89457
Chile,CHL,2005,106.64398
Chile,CHL,2006,115.52184
Chile,CHL,2007,124.094124
Chile,CHL,2008,114.00559
Chile,CHL,2009,113.42297
Chile,CHL,2010,130.47978
Chile,CHL,2011,153.58485
Chile,CHL,2012,163.59921
Chile,CHL,2013,171.27428
Chile,CHL,2014,179.17004
Chile,CHL,2015,187.96738
Chile,CHL,2016,196.47333
Chile,CHL,2017,197.07564
Chile,CHL,2018,204.52957
Chile,CHL,2019,175.74005
Chile,CHL,2020,49.916275
Chile,CHL,2021,26.363062
China,CHN,1995,3.7105618
China,CHN,1996,4.1203327
China,CHN,1997,4.301174
China,CHN,1998,6.757905
China,CHN,1999,7.3536367
China,CHN,2000,8.284952
China,CHN,2001,9.532979
China,CHN,2002,12.960936
China,CHN,2003,15.6896715
China,CHN,2004,22.249096
China,CHN,2005,23.776762
China,CHN,2006,26.29225
China,CHN,2007,30.99023
China,CHN,2008,34.46484
China,CHN,2009,35.5874
China,CHN,2010,42.565174
China,CHN,2011,51.76497
China,CHN,2012,60.869595
China,CHN,2013,71.350174
China,CHN,2014,84.17115
China,CHN,2015,91.74039
China,CHN,2016,96.39133
China,CHN,2017,101.423416
China,CHN,2018,105.65467
China,CHN,2019,108.75301
China,CHN,2020,14.270177
Colombia,COL,1995,29.385513
Colombia,COL,1996,25.359941
Colombia,COL,1997,28.719336
Colombia,COL,1998,28.805292
Colombia,COL,1999,28.456625
Colombia,COL,2000,31.492943
Colombia,COL,2001,34.665504
Colombia,COL,2002,31.566673
Colombia,COL,2003,28.666983
Colombia,COL,2004,33.734894
Colombia,COL,2005,36.782692
Colombia,COL,2007,46.8289
Colombia,COL,2008,46.60471
Colombia,COL,2009,47.885635
Colombia,COL,2010,52.258
Colombia,COL,2011,55.662357
Colombia,COL,2012,69.21871
Colombia,COL,2013,77.96629
Colombia,COL,2014,83.786896
Colombia,COL,2015,81.961426
Colombia,COL,2016,79.68343
