Entity,Code,Year,Population by broad age group - Sex: all - Age: 65+ - Variant: estimates,Population by broad age group - Sex: all - Age: 25-64 - Variant: estimates,Population by broad age group - Sex: all - Age: 15-24 - Variant: estimates,Population by broad age group - Sex: all - Age: 5-14 - Variant: estimates,Population by broad age group - Sex: all - Age: 0-4 - Variant: estimates
Afghanistan,AFG,1950,213022,2773093,1425494,1820573,1248282
Afghanistan,AFG,1951,216096,2803308,1446694,1858587,1246857
Afghanistan,AFG,1952,219028,2834902,1468534,1896850,1248220
Afghanistan,AFG,1953,221925,2866392,1489850,1931657,1254725
Afghanistan,AFG,1954,224755,2898163,1510311,1963243,1267817
Afghanistan,AFG,1955,227633,2931952,1530878,1990341,1291129
Afghanistan,AFG,1956,230697,2967789,1552218,2014684,1322342
Afghanistan,AFG,1957,233964,3005213,1574982,2041296,1354752
Afghanistan,AFG,1958,237398,3042316,1598770,2068069,1387274
Afghanistan,AFG,1959,240858,3082747,1626087,2096720,1421808
Afghanistan,AFG,1960,244282,3129685,1659216,2129331,1459959
Afghanistan,AFG,1961,247681,3181226,1696160,2164666,1500407
Afghanistan,AFG,1962,251055,3237074,1734629,2203354,1542943
Afghanistan,AFG,1963,254484,3295676,1771663,2248212,1587428
Afghanistan,AFG,1964,258112,3355711,1806815,2300921,1633951
Afghanistan,AFG,1965,262021,3417667,1838058,2364854,1682554
Afghanistan,AFG,1966,266254,3481004,1866306,2436869,1732720
Afghanistan,AFG,1967,270896,3546445,1896512,2511335,1784849
Afghanistan,AFG,1968,275873,3615459,1928552,2588815,1839083
Afghanistan,AFG,1969,281034,3688107,1961355,2669034,1894961
Afghanistan,AFG,1970,286354,3765890,1995307,2752631,1952791
Afghanistan,AFG,1971,291875,3845929,2029403,2837401,2011245
Afghanistan,AFG,1972,297584,3928199,2065396,2924698,2070876
Afghanistan,AFG,1973,303566,4012856,2108140,3017168,2133578
Afghanistan,AFG,1974,309812,4094019,2156831,3111543,2197676
Afghanistan,AFG,1975,316076,4164849,2211730,3204048,2260687
Afghanistan,AFG,1976,322149,4223478,2268427,3291434,2319788
Afghanistan,AFG,1977,327908,4279706,2324139,3377448,2378107
Afghanistan,AFG,1978,332624,4331821,2378356,3462064,2433999
Afghanistan,AFG,1979,331182,4314928,2396111,3495053,2449104
Afghanistan,AFG,1980,315233,4117374,2313571,3381455,2359007
Afghanistan,AFG,1981,278655,3650309,2076432,3039369,2110431
Afghanistan,AFG,1982,248665,3275656,1888052,2766617,1909300
Afghanistan,AFG,1983,241640,3209002,1872670,2744898,1883237
Afghanistan,AFG,1984,244020,3280556,1939310,2842703,1937100
Afghanistan,AFG,1985,244621,3342535,2002981,2935413,1986670
Afghanistan,AFG,1986,239025,3298679,2003013,2926270,1981460
Afghanistan,AFG,1987,233847,3237224,1989707,2890073,1971916
Afghanistan,AFG,1988,233856,3235804,2010591,2900420,2002788
Afghanistan,AFG,1989,240102,3306863,2073823,2970200,2082184
Afghanistan,AFG,1990,240273,3294477,2082753,2967397,2109904
Afghanistan,AFG,1991,241356,3290447,2094060,2977610,2141695
Afghanistan,AFG,1992,271770,3672081,2347539,3341201,2424845
Afghanistan,AFG,1993,317199,4244446,2720101,3882203,2839815
