Entity,Code,Year,"Registered vehicles per 1,000 people"
Afghanistan,AFG,2013,20.777798
Albania,ALB,2016,195.45071
Antigua and Barbuda,ATG,2016,397.79187
Argentina,ARG,2016,495.40784
Australia,AUS,2016,757.4169
Austria,AUT,2016,849.49976
Azerbaijan,AZE,2016,133.37181
Bangladesh,BGD,2016,18.02244
Barbados,BRB,2015,421.0935
Belarus,BLR,2017,431.8444
Belgium,BEL,2016,647.77094
Belize,BLZ,2007,188.75302
Benin,BEN,2016,41.719112
Bhutan,BTN,2017,115.034454
Bolivia,BOL,2016,151.91357
Bosnia and Herzegovina,BIH,2016,281.02075
Botswana,BWA,2016,277.7031
Brazil,BRA,2016,453.77167
Bulgaria,BGR,2016,556.41156
Burkina Faso,BFA,2015,112.52749
Burundi,BDI,2017,9.971322
Cambodia,KHM,2016,240.11612
Cameroon,CMR,2016,31.973557
Canada,CAN,2015,669.5322
Cape Verde,CPV,2016,116.32363
Central African Republic,CAF,2014,7.8093433
Chad,TCD,2016,77.02541
Chile,CHL,2016,274.32968
China,CHN,2016,210.21231
Colombia,COL,2017,278.74936
Comoros,COM,2016,46.76518
Cook Islands,COK,2014,697.9599
Costa Rica,CRI,2015,406.80286
Cote d'Ivoire,CIV,2016,37.397835
Croatia,HRV,2016,472.5793
Cuba,CUB,2016,55.84274
Cyprus,CYP,2015,548.1451
Czechia,CZE,2015,696.1163
Denmark,DNK,2016,548.7563
Dominica,DMA,2016,510.65652
Dominican Republic,DOM,2016,366.08932
East Timor,TLS,2016,119.71242
Ecuador,ECU,2015,118.87994
Egypt,EGY,2016,84.30881
El Salvador,SLV,2016,161.27956
Eritrea,ERI,2016,21.515245
Estonia,EST,2016,657.3612
Eswatini,SWZ,2016,87.376335
Ethiopia,ETH,2016,6.7280297
Fiji,FJI,2016,120.60812
Finland,FIN,2016,949.52576
France,FRA,2015,663.8952
Gambia,GMB,2016,36.666046
Georgia,GEO,2016,298.7103
Germany,DEU,2016,687.7325
Ghana,GHA,2016,69.93713
Greece,GRC,2016,882.7467
Grenada,GRD,2016,227.2678
Guatemala,GTM,2016,199.50851
Guinea,GIN,2016,21.76944
Guinea-Bissau,GNB,2016,33.925957
Guyana,GUY,2013,20.997452
Honduras,HND,2016,179.10794
Hungary,HUN,2016,409.85782
Iceland,ISL,2016,862.4392
India,IND,2015,158.76378
Indonesia,IDN,2016,490.35138
Iran,IRN,2017,359.47028
Iraq,IRQ,2015,152.96906
Ireland,IRL,2015,551.6698
Israel,ISR,2016,397.02158
Italy,ITA,2016,874.6303
Jamaica,JAM,2016,193.14098
Japan,JPN,2016,642.5669
Jordan,JOR,2016,150.77486
Kazakhstan,KAZ,2016,242.44855
Kenya,KEN,2016,62.21799
Kiribati,KIR,2017,30.786356
Kuwait,KWT,2016,494.5394
Kyrgyzstan,KGZ,2015,167.87871
Laos,LAO,2016,268.45477
Latvia,LVA,2017,411.09213
Lebanon,LBN,2016,298.21344
Liberia,LBR,2012,250.4935
Libya,LBY,2013,593.71124
Lithuania,LTU,2015,469.52725
Luxembourg,LUX,2017,782.29047
Madagascar,MDG,2015,9.536028
Malaysia,MYS,2016,875.87256
Maldives,MDV,2016,204.68979
Mali,MLI,2015,19.011026
Malta,MLT,2016,767.4448
Mauritius,MUS,2016,392.35834
Mexico,MEX,2015,334.62927
Micronesia (country),FSM,2016,51.60369
Moldova,MDA,2016,277.277
Mongolia,MNG,2016,277.77542
Montenegro,MNE,2016,333.5402
Morocco,MAR,2016,107.99669
Mozambique,MOZ,2016,25.232935
Myanmar,MMR,2017,122.037445
Namibia,NAM,2017,157.02039
Nepal,NPL,2015,84.720795
Netherlands,NLD,2015,631.2767
New Zealand,NZL,2016,783.2543
Niger,NER,2016,20.859634
Nigeria,NGA,2016,62.19121
