iso3,country,population,area,admission_date,region,subregion
AFG,Afghanistan,41128771,652860.0,1946-11-19,Asia,Southern Asia
ALB,Albania,2777689,28750.0,1955-12-14,Europe,Southern Europe
DZA,Algeria,44903225,2381741.0,1962-10-08,Africa,Northern Africa
AND,Andorra,79824,470.0,1993-07-28,Europe,Southern Europe
AGO,Angola,35588987,1246700.0,1976-12-01,Africa,Sub-Saharan Africa
ATG,Antigua and Barbuda,93763,440.0,1981-11-11,Americas,Latin America and the Caribbean
ARG,Argentina,46234830,2780400.0,1945-10-24,Americas,Latin America and the Caribbean
ARM,Armenia,2780469,29740.0,1992-03-02,Asia,Western Asia
AUS,Australia,26005540,7741220.0,1945-11-01,Oceania,Australia and New Zealand
AUT,Austria,9041851,83879.0,1955-12-14,Europe,Western Europe
AZE,Azerbaijan,10141756,86600.0,1992-03-02,Asia,Western Asia
BHS,Bahamas,409984,13880.0,1973-09-18,Americas,Latin America and the Caribbean
BHR,Bahrain,1472233,790.0,1971-09-21,Asia,Western Asia
BGD,Bangladesh,171186372,147570.0,1974-09-17,Asia,Southern Asia
BRB,Barbados,281635,430.0,1966-12-09,Americas,Latin America and the Caribbean
BLR,Belarus,9228071,207630.0,1945-10-24,Europe,Eastern Europe
BEL,Belgium,11685814,30530.0,1945-12-27,Europe,Western Europe
BLZ,Belize,405272,22970.0,1981-09-25,Americas,Latin America and the Caribbean
BEN,Benin,13352864,114760.0,1960-09-20,Africa,Sub-Saharan Africa
BTN,Bhutan,782455,38390.0,1971-09-21,Asia,Southern Asia
BOL,Bolivia,12224110,1098580.0,1945-11-14,Americas,Latin America and the Caribbean
BIH,Bosnia and Herzegovina,3233526,51210.0,1992-05-22,Europe,Southern Europe
BWA,Botswana,2630296,581730.0,1966-10-17,Africa,Sub-Saharan Africa
BRA,Brazil,215313498,8515770.0,1945-10-24,Americas,Latin America and the Caribbean
BRN,Brunei,449002,5770.0,1984-09-21,Asia,South-eastern Asia
BGR,Bulgaria,6465097,111000.0,1955-12-14,Europe,Eastern Europe
BFA,Burkina Faso,22673762,274220.0,1960-09-20,Africa,Sub-Saharan Africa
BDI,Burundi,12889576,27830.0,1962-09-18,Africa,Sub-Saharan Africa
KHM,Cambodia,16767842,181040.0,1955-12-14,Asia,South-eastern Asia
CMR,Cameroon,27914536,475440.0,1960-09-20,Africa,Sub-Saharan Africa
CAN,Canada,38929902,9984670.0,1945-11-09,Americas,Northern America
CPV,Cape Verde,593149,4030.0,1975-09-16,Africa,Sub-Saharan Africa
CAF,Central African Republic,5579144,622980.0,1960-09-20,Africa,Sub-Saharan Africa
TCD,Chad,17723315,1284000.0,1960-09-20,Africa,Sub-Saharan Africa
CHL,Chile,19603733,756700.0,1945-10-24,Americas,Latin America and the Caribbean
CHN,China,1412175000,9596960.0,1945-10-24,Asia,Eastern Asia
COL,Colombia,51874024,1140619.05,1945-11-05,Americas,Latin America and the Caribbean
COM,Comoros,836774,1861.0,1975-11-12,Africa,Sub-Saharan Africa
COG,Congo,5970424,342000.0,1960-09-20,Africa,Sub-Saharan Africa
CRI,Costa Rica,5180829,51100.0,1945-11-02,Americas,Latin America and the Caribbean
HRV,Croatia,3855600,88070.0,1992-05-22,Europe,Southern Europe
CUB,Cuba,11212191,109880.0,1945-10-24,Americas,Latin America and the Caribbean
CYP,Cyprus,1251488,9250.0,1960-09-20,Asia,Western Asia
CZE,Czechia,10672118,78871.04,1993-01-19,Europe,Eastern Europe
CIV,Côte d’Ivoire,28160542,322460.0,1960-09-20,Africa,Sub-Saharan Africa
PRK,Democratic People’s Republic of Korea,26069416,120540.0,1991-09-17,Asia,Eastern Asia
