ISO3_code,Location,Population
AFG,Afghanistan,42239.854
ALB,Albania,2832.439
DZA,Algeria,45606.48
ASM,American Samoa,43.914
AND,Andorra,80.088
AGO,Angola,36684.202
AIA,Anguilla,15.9
ATG,Antigua and Barbuda,94.298
ARG,Argentina,45773.884
ARM,Armenia,2777.97
ABW,Aruba,106.277
AUS,Australia,26439.111
AUT,Austria,8958.96
AZE,Azerbaijan,10412.652
BHS,Bahamas,412.623
BHR,Bahrain,1485.509
BGD,Bangladesh,172954.319
BRB,Barbados,281.996
BLR,Belarus,9498.238
BEL,Belgium,11686.14
BLZ,Belize,410.825
BEN,Benin,13712.828
BMU,Bermuda,64.069
BTN,Bhutan,787.424
BOL,Bolivia (Plurinational State of),12388.571
BES,"Bonaire, Sint Eustatius and Saba",27.148
BIH,Bosnia and Herzegovina,3210.847
BWA,Botswana,2675.352
BRA,Brazil,216422.446
VGB,British Virgin Islands,31.538
BRN,Brunei Darussalam,452.524
BGR,Bulgaria,6687.717
BFA,Burkina Faso,23251.485
BDI,Burundi,13238.559
CPV,Cabo Verde,598.682
KHM,Cambodia,16944.826
CMR,Cameroon,28647.293
CAN,Canada,38781.292
CYM,Cayman Islands,69.31
CAF,Central African Republic,5742.316
TCD,Chad,18278.568
CHL,Chile,19629.59
CHN,China,1425671.352
HKG,"China, Hong Kong SAR",7491.608
MAC,"China, Macao SAR",704.15
TWN,"China, Taiwan Province of China",23923.276
COL,Colombia,52085.168
COM,Comoros,852.075
COG,Congo,6106.869
COK,Cook Islands,17.044
CRI,Costa Rica,5212.173
HRV,Croatia,4008.616
CUB,Cuba,11194.449
CUW,Curaçao,192.077
CYP,Cyprus,1260.138
CZE,Czechia,10495.295
CIV,Côte d'Ivoire,28873.034
PRK,Dem. People's Republic of Korea,26160.821
COD,Democratic Republic of the Congo,102262.808
DNK,Denmark,5910.913
DJI,Djibouti,1136.455
DMA,Dominica,73.04
DOM,Dominican Republic,11332.972
ECU,Ecuador,18190.484
EGY,Egypt,112716.598
SLV,El Salvador,6364.942
GNQ,Equatorial Guinea,1714.671
ERI,Eritrea,3748.902
